PointID,Property,Result,Unit,SampleDate,latitude,longitude,DOC,ImageDate
NW-88021658,C - Org Filt,0.58,mg/l,2018-01-11,54.426701,-3.319169,12.209693230967959,2018-01-08
NW-88005133,C - Org Filt,1.33,mg/l,2018-02-22,54.519881,-3.372862,14.021767701593319,2018-02-22
NW-88021658,C - Org Filt,0.7,mg/l,2018-03-20,54.426701,-3.319169,20.698152530141027,2018-03-19
NW-88010015,C - Org Filt,1.44,mg/l,2018-03-21,54.655347,-3.221301,10.025481343848831,2018-03-19
NW-88021658,C - Org Filt,0.6,mg/l,2018-04-18,54.426701,-3.319169,24.4546549720026,2018-04-20
NW-88010015,C - Org Filt,1.68,mg/l,2018-04-26,54.655347,-3.221301,11.389793803226706,2018-04-28
NW-88021658,C - Org Filt,0.71,mg/l,2018-05-21,54.426701,-3.319169,7.710021555506506,2018-05-23
NW-88010015,C - Org Filt,1.94,mg/l,2018-05-23,54.655347,-3.221301,11.587396328159398,2018-05-23
NW-88005133,C - Org Filt,1.41,mg/l,2018-05-25,54.519881,-3.372862,12.411719384345053,2018-05-28
NW-88010015,C - Org Filt,1.61,mg/l,2018-06-26,54.655347,-3.221301,11.892781111915221,2018-06-29
NW-88005133,C - Org Filt,0.96,mg/l,2018-06-28,54.519881,-3.372862,7.96338139881064,2018-06-29
NW-88010015,C - Org Filt,1.7,mg/l,2018-07-18,54.655347,-3.221301,14.355540012179002,2018-07-19
NW-88021658,C - Org Filt,0.71,mg/l,2018-07-19,54.426701,-3.319169,21.031841670600723,2018-07-19
NW-88021658,C - Org Filt,1.04,mg/l,2018-09-27,54.426701,-3.319169,11.27315473936307,2018-09-27
NW-88005133,C - Org Filt,1.27,mg/l,2018-10-25,54.519881,-3.372862,10.796799832482996,2018-10-27
NW-88021658,C - Org Filt,0.73,mg/l,2018-10-29,54.426701,-3.319169,13.814005853267005,2018-10-27
NW-88005133,C - Org Filt,1.13,mg/l,2018-11-26,54.519881,-3.372862,31.973465762906315,2018-11-26
NW-88005133,C - Org Filt,1.18,mg/l,2018-12-10,54.519881,-3.372862,13.625589408680868,2018-12-09
NW-88021658,C - Org Filt,0.91,mg/l,2018-12-28,54.426701,-3.319169,11.82488973388197,2018-12-24
NW-88010015,C - Org Filt,1.93,mg/l,2019-01-08,54.655347,-3.221301,20.046252955035744,2019-01-08
NW-88005133,C - Org Filt,1.05,mg/l,2019-01-23,54.519881,-3.372862,10.40104175479074,2019-01-23
NW-88010015,C - Org Filt,1.56,mg/l,2019-02-21,54.655347,-3.221301,13.138549233693658,2019-02-24
NW-88005133,C - Org Filt,1.14,mg/l,2019-02-27,54.519881,-3.372862,12.561940535999687,2019-02-27
NW-88021658,C - Org Filt,0.65,mg/l,2019-02-27,54.426701,-3.319169,22.98518884556821,2019-02-27
NW-88021658,C - Org Filt,0.97,mg/l,2019-03-29,54.426701,-3.319169,20.363740127866908,2019-03-31
NW-88010015,C - Org Filt,1.52,mg/l,2019-04-11,54.655347,-3.221301,10.503982927248915,2019-04-10
NW-88005133,C - Org Filt,0.88,mg/l,2019-04-24,54.519881,-3.372862,16.8297220677726,2019-04-20
NW-88010015,C - Org Filt,1.7,mg/l,2019-05-15,54.655347,-3.221301,10.21434789907762,2019-05-15
NW-88005133,C - Org Filt,0.94,mg/l,2019-05-28,54.519881,-3.372862,14.733399279431245,2019-05-28
NW-88010015,C - Org Filt,3.7,mg/l,2019-08-16,54.655347,-3.221301,15.91936640465091,2019-08-13
NW-88021658,C - Org Filt,0.98,mg/l,2019-09-05,54.426701,-3.319169,10.731052617256719,2019-09-07
NW-88021658,C - Org Filt,0.99,mg/l,2019-09-24,54.426701,-3.319169,9.441007477010709,2019-09-20
NW-88005133,C - Org Filt,1.6,mg/l,2019-09-30,54.519881,-3.372862,7.597977173732501,2019-10-02
NW-88021658,C - Org Filt,0.98,mg/l,2019-10-14,54.426701,-3.319169,11.487271533897447,2019-10-17
NW-88010015,C - Org Filt,2.8,mg/l,2019-10-29,54.655347,-3.221301,13.389828175631557,2019-10-30
NW-88021658,C - Org Filt,0.81,mg/l,2019-11-11,54.426701,-3.319169,27.47720931485671,2019-11-14
NW-88021658,C - Org Filt,0.92,mg/l,2019-12-10,54.426701,-3.319169,12.669612477473914,2019-12-09
NW-88010015,C - Org Filt,2.6,mg/l,2019-12-11,54.655347,-3.221301,15.400453235779574,2019-12-09
